nextJobOne,state,city,CaBRating,CaVRating,jobId,numJobs,nextJobTwo,CORating,company,SLRating,WLBRating,title,id
warehouse worker,CA,Los Angeles,4.1,4.1,47747,3,customer service representative,3.4,Apple,3.5,3.3,Warehouse Specialist,210
process engineer,CA,Los Angeles,4.1,4.1,26403,3,senior manufacturing engineer,3.4,Apple,3.5,3.3,Supplier Quality Engineer,211
,CA,Los Angeles,4.1,4.1,27366,3,,3.4,Apple,3.5,3.3,Firmware Engineer,212
,CA,Los Angeles,4.1,4.1,3004077,3,,3.4,Apple,3.5,3.3,IT/Broadcasting Engineer,213
technician ii,CA,Los Angeles,4.1,4.1,40796,3,field technician,3.4,Apple,3.5,3.3,Deskside Support,214
intake representative,CA,Los Angeles,4.1,4.1,46303,3,sales associate,3.4,Apple,3.5,3.3,Customer Support Representative,215
,CA,Los Angeles,4.1,4.1,629863,2,,3.4,Apple,3.5,3.3,Care Consultant,216
prep cook,KY,Louisville,4.1,4.1,19005,34,lead cook,3.4,Apple,3.5,3.3,Line Cook,217
manager,KY,Louisville,4.1,4.1,11520,31,,3.4,Apple,3.5,3.3,Server,218
customer service representative,KY,Louisville,4.1,4.1,34413,17,customer service,3.4,Apple,3.5,3.3,Host,219
receptionist,KY,Louisville,4.1,4.1,62308,11,customer service representative,3.4,Apple,3.5,3.3,Bartender,220
,KY,Louisville,4.1,4.1,52417,7,,3.4,Apple,3.5,3.3,Mobile Sales Associate,221
,KY,Louisville,4.1,4.1,506282,6,,3.4,Apple,3.5,3.3,Hostess/Carside to Go,222
,KY,Louisville,4.1,4.1,12198,4,,3.4,Apple,3.5,3.3,Build Release Engineer,223
mobile developer,KY,Louisville,4.1,4.1,190122,4,software developer,3.4,Apple,3.5,3.3,IOS Developer,224
senior software engineer,KY,Louisville,4.1,4.1,123068,4,,3.4,Apple,3.5,3.3,Android Developer,225
program manager,KY,Louisville,4.1,4.1,186464,4,senior consultant,3.4,Apple,3.5,3.3,Agile Coach,226
cook,KY,Louisville,4.1,4.1,60665,3,grill cook,3.4,Apple,3.5,3.3,Prep Cook,227
,KY,Louisville,4.1,4.1,807911,3,,3.4,Apple,3.5,3.3,Mobile Market Sales Associate,228
,KY,Louisville,4.1,4.1,826299,2,,3.4,Apple,3.5,3.3,General Utilities (Dishwasher),229
bus driver,KY,Louisville,4.1,4.1,31940,2,customer service representative,3.4,Apple,3.5,3.3,Expeditor,230
,KY,Louisville,4.1,4.1,160696,1,,3.4,Apple,3.5,3.3,Apple Creative,231
,KY,Louisville,4.1,4.1,21392,1,,3.4,Apple,3.5,3.3,Genius,232
,KY,Louisville,4.1,4.1,605825,1,,3.4,Apple,3.5,3.3,Apple Business Specialist,233
analyst,KY,Louisville,4.1,4.1,30663,1,senior analyst,3.4,Apple,3.5,3.3,Specialist,234
business analyst,KY,Louisville,4.1,4.1,31973,1,contractor,3.4,Apple,3.5,3.3,Expert,235
,KY,Louisville,4.1,4.1,9245,1,,3.4,Apple,3.5,3.3,Apple Expert,236
,KY,Louisville,4.1,4.1,66972,1,,3.4,Apple,3.5,3.3,Apple Genius,237
,KY,Louisville,4.1,4.1,9259,1,,3.4,Apple,3.5,3.3,Apple Specialist,238
,KY,Louisville,4.1,4.1,59883,1,,3.4,Apple,3.5,3.3,Creative,239
manager,KY,Louisville,4.1,4.1,30513,1,senior systems engineer,3.4,Apple,3.5,3.3,Solutions Engineer,240
customer service representative,KY,Louisville,4.1,4.1,35961,1,customer service rep,3.4,Apple,3.5,3.3,Service Specialist,241
administrative assistant,KY,Louisville,4.1,4.1,10274,1,intern,3.4,Apple,3.5,3.3,Inventory Specialist,242
project manager,KY,Louisville,4.1,4.1,62619,1,business development manager,3.4,Apple,3.5,3.3,Business Specialist,243
purchasing agent,DE,Wilmington,4.1,4.1,1034,37,inside,3.4,Apple,3.5,3.3,OUTSIDE SALES,244
manager,DE,Wilmington,4.1,4.1,50838,37,,3.4,Apple,3.5,3.3,Sales Associate,245
sales associate,DE,Wilmington,4.1,4.1,44836,37,administrative assistant,3.4,Apple,3.5,3.3,Sales Representative,246
sales executive,DE,Wilmington,4.1,4.1,50751,37,manager,3.4,Apple,3.5,3.3,Sales Agent,247
